campaign,ad_group,cluster,keyword,intent,match_hint,landing
П4_Поиск_Трудовой,Трудовой договор,D_налоги_документы,справка 2ндфл такси,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,D_налоги_документы,трудовой договор такси 2ндфл,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,D_налоги_документы,налоги платит парк такси,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,D_налоги_документы,договор с таксопарком трудовой,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,E_банкротство_статус,такси при банкротстве трудовой договор,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,E_банкротство_статус,работа такси при банкротстве,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,E_банкротство_статус,работа такси на пособии,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,E_банкротство_статус,трудовой договор такси банкротство,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,E_банкротство_статус,такси тип занятости не подтвержден,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,E_банкротство_статус,деприоритет тип занятости яндекс такси,H,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,F_комиссия_бренд,комиссия трудового договора такси,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,F_комиссия_бренд,трудовой договор такси 3 процента,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,F_комиссия_бренд,таксопарк армада трудовой,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
П4_Поиск_Трудовой,Трудовой договор,F_комиссия_бренд,парк армада трудовой договор,M,phrase,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
